DN;OM;SIGLA OM;UF;TIPO DE EMBARCAÇÃO;TOTAL DE EMBARCAÇÕES POR TIPO
4º ;Capitania Fluvial de Santarém;CFAREM;PA;Roll-on / Roll-off Passageiro (Ferry Boat);29
4º ;Capitania Fluvial de Santarém;CFAREM;PA;Tanque (transporte de granéis líquidos);24
4º ;Capitania Fluvial de Santarém;CFAREM;PA;Transporte de Gases Liquefeitos;1
4º ;Capitania Fluvial de Santarém;CFAREM;PA;Veleiro;6
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Anfíbia;2
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Balsa;2
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Barcaça;1
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Bote;1981
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Caiaque;6
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Caique;4
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Canoa;164
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Chata;4
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Draga;42
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Empurrador;1
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Flutuante;1
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Hovercraft;1
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Jangada;4
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Jet Boat;3
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Lancha;900
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Moto-Aquática/similar;760
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Multicasco (Catamarã, Trimarã, Tetramarã, etc);2
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Outros;441
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Passageiro;3
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Passageiro / Carga Geral;1
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Pesqueiro;20
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Supridor (Supply);1
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Traineira;3
5º ;Agência da Capitania dos Portos em Tramandaí;AGNDAI;RS;Veleiro;15
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Alvarenga;2
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Anfíbia;1
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Balsa;196
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Barcaça;10
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Batelão;7
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Bote;6023
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Caiaque;47
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Caique;6
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Canoa;677
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Chata;45
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Draga;25
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Escuna;41
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Flutuante;54
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Hovercraft;2
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Iate;8
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Jet Boat;27
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Lançador de Linhas;3
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Lancha;6697
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Laser;1
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Manuseio de Âncora (AHTS);1
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Moto-Aquática/similar;3674
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Multicasco (Catamarã, Trimarã, Tetramarã, etc);28
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Oceonagráfico;1
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Outros;2083
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Passageiro;17
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Passageiro / Carga Geral;1
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Pesqueiro;1795
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Pesquisa;3
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Rebocador;14
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Saveiro;2
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Traineira;12
5º ;Capitania dos Portos de Santa Catarina;CPFPOL;SC;Veleiro;539
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Apoio a Mergulho;3
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Balsa;28
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Barcaça;10
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Batelão;2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Bote;6829
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Cábrea;2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Caiaque;6
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Caique;287
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Canoa;323
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Carga Geral;5
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Chata;5
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Draga;81
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Empurrador;3
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Escuna;12
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Floating, Production, Storage and Off-Loading Unit (FPSO);2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Flutuante;4
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Hovercraft;1
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Iate;7
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Jet Boat;4
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Lancha;1181
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Laser;2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Moto-Aquática/similar;583
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Multicasco (Catamarã, Trimarã, Tetramarã, etc);3
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Outros;3014
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Passageiro;3
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Pesqueiro;254
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Pesquisa;2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Petroleiro;5
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Petroleiro e Químico;1
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Plataforma Semi-Submersível;2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Químico e Gaseiro;1
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Rebocador;20
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Roll-on / Roll-off Passageiro (Ferry Boat);3
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Tanque (transporte de granéis líquidos);1
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Traineira;2
5º ;Capitania dos Portos do Rio Grande do Sul;CPGRAN;RS;Veleiro;445
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Anfíbia;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Apoio a ROV;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Balsa;113
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Barcaça;69
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Batelão;9
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Bote;11282
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Cábrea;3
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Caiaque;20
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Caique;20
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Canoa;189
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Carga Geral;13
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Chata;86
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Dique Flutuante;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Draga;283
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Empurrador;13
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Escuna;14
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Flutuante;50
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Graneleiro;89
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Hidroavião;2
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Hovercraft;5
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Iate;7
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Jangada;12
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Jet Boat;23
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Lancha;7948
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Laser;4
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Moto-Aquática/similar;6447
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Multicasco (Catamarã, Trimarã, Tetramarã, etc);38
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Outros;3658
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Passageiro;6
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Passageiro / Carga Geral;2
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Pesqueiro;29
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Petroleiro;5
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Plataforma Auto-Elevável;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Plataforma Fixa;5
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Porta-Contentor;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Químico;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Rebocador;104
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Roll-on / Roll-off Passageiro (Ferry Boat);1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Saveiro;1
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Tanque (transporte de granéis líquidos);5
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Traineira;4
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Transporte de Gases Liquefeitos;2
5º ;Capitania Fluvial de Porto Alegre;CFALEG;RS;Veleiro;1188
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Alvarenga;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Apoio à Manobra;3
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Apoio a Mergulho;3
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Balsa;46
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Barcaça;18
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Batelão;5
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Bote;5637
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Cábrea;2
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Caiaque;50
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Caique;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Canoa;211
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Carga Geral;7
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Chata;282
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Dique Flutuante;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Draga;94
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Empurrador;7
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Escuna;24
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Flutuante;29
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Iate;20
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Jangada;7
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Jet Boat;34
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Lançador de Linhas;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Lancha;6786
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Laser;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Moto-Aquática/similar;5406
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Multicasco (Catamarã, Trimarã, Tetramarã, etc);12
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Oceonagráfico;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Outros;1962
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Passageiro;29
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Pesqueiro;1288
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Pesquisa;1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Porta-Contentor;2
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Rebocador;38
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Roll-on / Roll-off Passageiro (Ferry Boat);5
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Saveiro;4
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Supridor (Supply);59
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Tanque (transporte de granéis líquidos);1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Traineira;25
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Transporte de Carga Pesada (Navio de Cargas Especiais);1
5º ;Delegacia da Capitania dos Portos em Itajaí;DCPJAI;SC;Veleiro;396
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Balsa;29
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Barcaça;21
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Batelão;49
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Bote;2780
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Cábrea;2
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Caiaque;14
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Caique;278
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Canoa;1692
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Chata;10
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Draga;65
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Empurrador;1
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Escuna;1
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Floating, Production, Storage and Off-Loading Unit (FPSO);1
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Flutuante;4
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Hovercraft;1
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Iate;8
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Jangada;4
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Jet Boat;3
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Lancha;1063
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Moto-Aquática/similar;1211
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Multicasco (Catamarã, Trimarã, Tetramarã, etc);2
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Outros;6719
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Passageiro;4
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Pesqueiro;83
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Rebocador;13
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Roll-on / Roll-off Passageiro (Ferry Boat);1
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Saveiro;1
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Traineira;8
5º ;Delegacia da Capitania dos Portos em Laguna ;DELUNA;SC;Veleiro;38
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Apoio a Mergulho;3
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Balsa;22
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Barcaça;11
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Batelão;1
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Bote;11593
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Cábrea;3
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Caiaque;15
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Caique;2
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Canoa;98
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Carga Geral;4
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Chata;50
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Draga;127
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Empurrador;5
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Escuna;10
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Flutuante;17
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Graneleiro;1
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Hovercraft;6
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Iate;10
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Jangada;2
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Jet Boat;4
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Lancha;3590
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Moto-Aquática/similar;1280
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Multicasco (Catamarã, Trimarã, Tetramarã, etc);11
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Oceonagráfico;3
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Outros;5276
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Passageiro;26
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Pesqueiro;43
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Plataforma Fixa;1
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Quebra-gelo;1
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Rebocador;19
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Saveiro;4
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Supridor (Supply);5
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Traineira;86
5º ;Delegacia da Capitania dos Portos em São Francisco do Sul;DLSFSL;SC;Veleiro;341
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Alvarenga;2
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Balsa;33
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Barcaça;11
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Batelão;1
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Bote;7175
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Caiaque;3
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Canoa;1087
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Chata;9
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Draga;29
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Jangada;1
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Jet Boat;3
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Lancha;1818
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Manuseio de Âncora (AHTS);2
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Moto-Aquática/similar;353
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Outros;561
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Passageiro;3
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Plataforma Fixa;1
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Rebocador;15
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Traineira;1
5º ;Delegacia Fluvial de Uruguaiana;DLURUG;RS;Veleiro;4
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Balsa;29
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Barcaça;3
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Bote;7823
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Cábrea;1
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Caiaque;1
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Canoa;414
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Chata;276
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Draga;36
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Flotel;2
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Flutuante;45
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Hovercraft;1
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Iate;1
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Jangada;1
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Jet Boat;2
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Lançador de Linhas;1
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Lancha;883
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Moto-Aquática/similar;153
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Multicasco (Catamarã, Trimarã, Tetramarã, etc);2
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Outros;1441
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Passageiro;16
6º ;Agência Fluvial de Cáceres;AGCACE;MT;Rebocador;15
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Balsa;11
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Barcaça;2
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Batelão;3
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Bote;5977
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Caiaque;3
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Canoa;5
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Chata;21
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Curral;1
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Draga;19
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Flutuante;12
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Hovercraft;4
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Jet Boat;2
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Lancha;1029
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Moto-Aquática/similar;293
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Outros;932
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Passageiro;19
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Passageiro / Carga Geral;1
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Rebocador;5
6º ;Agência Fluvial de Porto Murtinho;AGMURT;MS;Veleiro;1
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Balsa;95
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Barcaça;9
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Bote;229
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Canoa;2366
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Carga Geral;2
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Chata;361
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Dique Flutuante;1
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Draga;5
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Empurrador;4
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Flutuante;38
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Hovercraft;1
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Jet Boat;29
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Lancha;1283
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Moto-Aquática/similar;430
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Outros;12
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Passageiro;10
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Passageiro / Carga Geral;2
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Rebocador;1
6º ;Agência Fluvial de São Felix do Araguaia;AGELIX;MT;Veleiro;1
